name,slug,category,brand,description,price,discount_price,stock,material,warranty_months,delivery_info,dimensions_length_cm,dimensions_width_cm,dimensions_height_cm,tags,best_seller,care_instructions,image_1,image_2,image_3,image_4,image_5,variant_1_color,variant_1_price,variant_1_stock,variant_2_color,variant_2_price,variant_2_stock,variant_3_color,variant_3_price,variant_3_stock,variant_4_color,variant_4_price,variant_4_stock,spec_1_name,spec_1_value,spec_2_name,spec_2_value,spec_3_name,spec_3_value,spec_4_name,spec_4_value,spec_5_name,spec_5_value,spec_6_name,spec_6_value,sku
Nova Sofa Bed Without Storage,nova-sofa-bed-without-storage,Sofa Beds,Spacecrafts,Versatile sofa bed that transforms from a stylish sofa to a comfortable bed. Perfect for small spaces and guest rooms.,30000,21186,10,"Fabric Upholstery, Hardwood & Metal Frame",12,Free Delivery across India | 7-10 Days,190,90,85,"sofa-bed,space-saving,living-room,fabric,multipurpose",TRUE,Vacuum clean fabric weekly. Avoid direct sunlight. Spot clean with mild detergent.,nova-sofa-bed-1.jpg,nova-sofa-bed-2.jpg,nova-sofa-bed-3.jpg,nova-sofa-bed-4.jpg,,Sandy Brown,21186,15,Grey,21186,12,Navy Blue,21186,10,Charcoal Black,21186,8,Frame Material,Hardwood with Metal Reinforcement,Weight Capacity,300 kg,Product Weight,45 kg,Assembly Required,Yes (2-3 hours),Folding Mechanism,Smooth Pull-Out,Seating Capacity,3,
Ventura,,Sofa,Spacecrafts,"The Ventura sofa set is an exceptional addition to any living room, seamlessly blending style, comfort, and functionality. This versatile sofa set is designed to enhance the aesthetic appeal of your living space while providing a cozy and inviting atmosphere for relaxation and socializing.\n\nConstructed with high-quality materials, the Ventura sofa set features a robust frame that ensures durability and longevity. Its plush cushions are filled with premium foam, offering a soft yet supportive seating experience. The upholstery is crafted from luxurious fabric, available in a variety of colors and textures to match your home decor effortlessly. Whether you prefer a classic neutral tone or a vibrant statement hue, the Ventura set is designed to complement any living room theme.\n\nOne of the standout features of the Ventura sofa set is its modular design. This flexibility allows you to customize the arrangement to suit your specific space and needs. The set typically includes a combination of sectional pieces that can be rearranged or expanded, making it ideal for both small and large living rooms. This modularity also allows for easy reconfiguration if you decide to update your living space layout.\n\nIn addition to its aesthetic appeal, the Ventura sofa set is built for comfort. The cushions are designed to provide ample support while retaining their shape over time. The deep seating area ensures that you and your guests can lounge comfortably, whether you’re enjoying a movie night or hosting a gathering. The sofa's armrests and backrests are ergonomically designed to enhance your sitting experience, making it a perfect spot for unwinding after a long day.\n\nThe Ventura sofa set also includes practical features such as easy-to-clean upholstery and stain-resistant fabric options. This makes it an excellent choice for households with children or pets. The sofa's sturdy construction ensures that it can withstand everyday use while maintaining its stylish appearance.\n\nIn summary, the Ventura sofa set is a sophisticated choice for any living room. It combines elegant design with practical functionality, offering a comfortable seating solution that adapts to your lifestyle. With its modular versatility, durable construction, and plush comfort, the Ventura sofa set is sure to become a central piece in your living space, enhancing both the look and feel of your home.",53846,35000,50,,12,Delivery Charges Applicable ,,,,,,,https://drive.google.com/file/d/1YukLDfG0o9u1awme0u9jhhBvwFziIaU1/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Handle Sofa Cum Bed,,Sofa,Spacecrafts,"The Small Handle Sofa Cum Bed epitomizes versatility and functionality in modern living room furniture, catering to space-saving needs with its dual-purpose design. Ideal for compact living spaces such as studio apartments, guest rooms, or home offices, this piece seamlessly transitions from a comfortable sofa to a convenient bed.\n\nDuring the day, the Small Handle Sofa Cum Bed serves as a stylish and practical seating option. Its compact size makes it suitable for smaller rooms where maximizing space is essential. The design typically features a minimalist aesthetic, with clean lines and a sleek profile that complement various interior styles. Upholstered in durable fabrics or leatherette, the sofa provides a comfortable seating experience for lounging, socializing, or working from home.\n\nIn the evening or when accommodating overnight guests, It transforms effortlessly into a bed. This conversion is facilitated by a user-friendly mechanism, often involving a pull-out or fold-down feature. The transition from sofa to bed is smooth, providing a comfortable sleeping surface without the need for additional space-consuming furniture.\n\nThe construction of the Small Handle Sofa Cum Bed prioritizes durability and comfort. It typically includes a sturdy frame made from materials like hardwood or metal, ensuring stability and longevity. The mattress or sleeping surface is designed to offer adequate support for a restful night's sleep, catering to the needs of both occasional guests and everyday use.\n\nFor added convenience, some models of this product may include built-in storage compartments. These compartments provide space to store bedding, pillows, or other essentials, optimizing organization and reducing clutter in smaller living spaces.\n\nIn terms of design versatility, It is available in various colors and upholstery options to suit different décor preferences. Whether enhancing a contemporary living room with a neutral fabric or adding a pop of color to a minimalist space, homeowners can find a style that complements their existing furniture and enhances the overall aesthetic of their home.\n\nOverall, the Small Handle Sofa Cum Bed offers a practical solution for maximizing space without compromising on comfort or style. Its dual-purpose functionality makes it a valuable addition to any home seeking versatile and efficient furniture solutions. Whether used as a sofa for daily activities or as a bed for overnight guests, the Small Handle Sofa Cum Bed ensures functionality, comfort, and aesthetic appeal in compact living environments.",42000,34000,50,,12,Delivery Charges Applicable ,,,,,,,https://drive.google.com/file/d/1RfQcgL5vK6YfprRQ3REgMD8tVDH77J7D/view?usp=drivesdk,https://drive.google.com/file/d/1WgZ95FuJgbyt5Clk0lpZ-Rd5KFyS2dl2/view?usp=drivesdk,https://drive.google.com/file/d/1NVuDXX7s3r6Rde5O65M4J_6TtjzB2Ah9/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Sofa Cum Bed Brown,,"Diwans, Sofa",Spacecrafts,"&nbsp;\n\nThe **Rio Sofa cum Bed in Brown** is the quintessential piece for modern living spaces, masterfully blending style, functionality, and efficiency. Designed to elevate both the aesthetics and functionality of your home, this versatile piece of living room furniture seamlessly transforms from a comfortable sofa into a practical bed, making it an essential addition for any space-conscious individual or family.\n\nIn today’s fast-paced world, the demand for multi-functional and space-saving furniture has never been higher. The Rio Sofa cum Bed answers this call with its innovative design, making it perfect for those who value versatility without compromising on style or comfort. Crafted with meticulous attention to detail, the Rio Sofa cum Bed not only serves as a chic sofa during the day but effortlessly converts into a full-size bed at night, offering a comfortable sleeping solution for guests or family members.\n\nThe sofa’s rich brown upholstery provides a warm and inviting tone, easily complementing various décor styles from contemporary to traditional. Its neutral color ensures that it integrates well with existing furniture, while adding a touch of sophistication to your living room. The high-quality fabric used in the construction is not only aesthetically pleasing but also durable and easy to maintain, ensuring that the sofa retains its charm even after extensive use.\n\nComfort is at the forefront of the Rio Sofa cum Bed's design. The sofa features plush cushions that offer ample support and coziness, making it an ideal spot for lounging, reading, or entertaining guests. When converted into a bed, the sofa provides a comfortable sleeping surface, allowing you to host overnight guests without the need for an additional guest room. The transition between sofa and bed is smooth and effortless, thanks to a well-engineered mechanism that ensures ease of use.\n\nIn addition to its practical features, the Rio Sofa cum Bed is also designed with space-saving in mind. Its compact design means that it fits neatly into smaller living areas, maximizing the use of available space without sacrificing comfort or style. This makes it an excellent choice for apartments, studios, or any space where every square foot counts.\n\nOverall, the **Rio Sofa cum Bed in Brown** is a perfect blend of elegance, practicality, and comfort. It stands out as a key piece of living room furniture that caters to modern living needs while enhancing the visual appeal of your home. Whether you’re looking to furnish a new apartment or upgrade your current space, this multipurpose furniture piece offers a smart solution that meets both functional and aesthetic requirements.",62400,52000,50,,12,Delivery Charges Applicable ,,,,,,,https://drive.google.com/file/d/19cDOeROYhm7GlubLpOEEH6mup4kcnE3k/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Sofa Cum Bed Grey,,"Diwans, Sofa",Spacecrafts,"The Rio Sofa Cum Bed in Grey is a modern and versatile piece of living room furniture designed to maximize both style and functionality. Ideal for contemporary homes where space is at a premium, this innovative piece seamlessly combines the comfort of a sofa with the practicality of a bed, making it a must-have in any multipurpose living area.\n\nCrafted with a sleek grey upholstery, the Rio Sofa Cum Bed exudes a sophisticated charm that complements a variety of interior styles, from minimalist to industrial. The neutral grey color ensures it can blend effortlessly with existing decor, whether you’re outfitting a cozy apartment or a spacious home. Its streamlined design features clean lines and a low-profile frame, adding a touch of modern elegance to your space.\n\nWhat sets this sofa apart is its space-saving functionality. In the living room, it functions as a comfortable sofa, perfect for lounging, reading, or entertaining guests. The seat cushions are designed for maximum comfort, providing a plush yet supportive surface. When extra sleeping space is needed, the Rio Sofa Cum Bed easily converts into a bed. This transformation is facilitated by a user-friendly mechanism that requires minimal effort. Simply remove the back cushions and pull out the bed frame, and you have a full-sized bed ready for use.\n\nThe Rio Sofa Cum Bed’s multipurpose design is ideal for those who frequently host guests or live in smaller spaces. Its dual functionality means you don’t have to sacrifice style for practicality. During the day, it serves as an elegant and comfortable seating option. By night, it transitions into a practical bed, accommodating overnight guests without the need for a separate guest room.\n\nBeyond its functional attributes, this sofa cum bed is designed with durability in mind. The frame is constructed from high-quality materials that ensure stability and longevity. The upholstery is not only visually appealing but also easy to maintain, making it a practical choice for everyday use.\n\nIn conclusion, the Rio Sofa Cum Bed in Grey is a versatile addition to your living room furniture collection. Its sleek design, space-saving features, and multipurpose functionality make it an excellent choice for enhancing both the style and practicality of your home. Whether you need a stylish sofa by day or a comfortable bed by night, the Rio Sofa Cum Bed has you covered.",62400,52000,50,,12,Delivery Charges Applicable ,,,,,,,https://drive.google.com/file/d/1Boq_9EFJrUBalFbaWw-zlxPq5_c7FIdt/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Sofa Cum Bed Silver,,"Diwans, Sofa",Spacecrafts,"**Rio Sofa Cum Bed Silver: The Ultimate Space-Saving Solution**\n\nIntroducing the Rio Sofa Cum Bed in Silver—a versatile piece of living room furniture designed to effortlessly blend style, functionality, and comfort. This innovative piece of space-saving furniture is an ideal addition to any modern home, especially in settings where space is at a premium.\n\n**Versatile Design**\n\nThe Rio Sofa Cum Bed is a masterclass in multipurpose furniture, seamlessly transforming from a chic, contemporary sofa into a cozy bed. By day, it serves as a stylish and comfortable sofa, perfect for lounging, reading, or socializing. The sleek silver upholstery adds a touch of sophistication to your living room, complementing various décor styles with its elegant finish.\n\nAs evening approaches or when unexpected guests arrive, It effortlessly converts into a spacious bed. The transformation is smooth and easy, ensuring you can quickly adapt the furniture to meet your needs. This feature makes it a perfect choice for small apartments, guest rooms, or any area where optimizing space is crucial.\n\n**Space-Saving Efficiency**\n\nIn today's world, space-saving furniture solutions are essential for maximizing living areas. The Rio Sofa Cum Bed stands out with its compact design that does not sacrifice comfort. When used as a sofa, it offers ample seating space, making it suitable for family gatherings or casual relaxation. When converted into a bed, it provides a comfortable and generous sleeping area, making it ideal for overnight guests.\n\nThe practical design of the Rio Sofa Cum Bed also includes built-in storage options, allowing you to keep essentials like bedding or throw pillows neatly tucked away. This thoughtful feature enhances its utility, further emphasizing its role as a multipurpose piece of furniture.\n\n**Comfort and Quality**\n\nComfort is at the heart of the Rio Sofa Cum Bed. The high-density foam cushions and supportive framework ensure a comfortable seating experience as a sofa and a restful night’s sleep as a bed. The silver upholstery is not only visually appealing but also easy to maintain, adding to the overall convenience of this furniture piece.\n\n**Conclusion**\n\nThe Rio Sofa Cum Bed in Silver is more than just a piece of living room furniture; it is a versatile solution for modern living. Combining elegant design with practical functionality, this multipurpose furniture piece meets the demands of contemporary lifestyles. Whether you're looking to enhance your living space or need a smart solution for accommodating guests, It delivers both style and efficiency in one beautiful package.",62400,52000,50,,12,Delivery Charges Applicable ,,,,,,,https://drive.google.com/file/d/1AAtc0Q05IS6nkQSa4VK9uBCbPOPJQM4e/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diwan FW,,"Diwans, space saving furniture",Spacecrafts,"### Diwan FW: The Ultimate Living Room Furniture for Style and Comfort\n\nTransform your living space with the Diwan FW, a premier piece of living room furniture designed to blend functionality with elegant aesthetics. This diwan is more than just a sofa; it's a versatile seating solution that enhances the overall ambiance of your living room while offering exceptional comfort and style.\n\nThe Diwan FW stands out with its sophisticated design that seamlessly integrates into various interior styles, from modern to traditional. Its sleek lines and plush cushioning create a visually appealing focal point in any living room, making it an excellent choice for both casual gatherings and formal settings.\n\nConstructed with high-quality materials, It ensures durability and long-lasting performance. The frame is built from robust hardwood, providing a solid foundation that supports the soft, high-density foam cushions. These cushions are upholstered in premium fabric or leather, chosen for their durability and ease of maintenance. The upholstery not only adds a touch of luxury but also offers a comfortable seating experience that invites relaxation.\n\nOne of the key features of the Diwan FW is its versatility. As a diwan for living rooms, it can be used as a traditional sofa or as a lounging area, making it ideal for reading, napping, or simply unwinding after a long day. The deep seating and plush cushions provide ample support, ensuring that every moment spent on the Diwan FW is a pleasure.\n\nAdditionally, the Diwan FW comes in various color and fabric options, allowing you to customize it to match your living room decor. Whether you prefer a neutral tone that complements a minimalist interior or a bold color that makes a statement, the Diwan FW can be tailored to fit your design preferences.\n\nIn terms of functionality, the Diwan FW is designed with practicality in mind. It offers a spacious seating area and can accommodate multiple people comfortably. This makes it an excellent choice for families or those who frequently entertain guests. The thoughtful design ensures that it integrates seamlessly into your living room layout, enhancing both the look and feel of the space.\n\nOverall, the Diwan FW is a standout piece of living room furniture that combines style, comfort, and functionality. Its elegant design, high-quality construction, and versatile use make it a valuable addition to any home. Whether you are looking to refresh your living room or create a new focal point, the Diwan FW provides the perfect blend of form and function, making it an ideal choice for discerning homeowners.",25000,19200,50,,12,Delivery Charges Applicable ,,,,,,,https://drive.google.com/file/d/18TeY34u8PJe8CjZZofZkk8DIf-fkmA1L/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoho Sofa Cum Bed With Storage,,"Sofa Cum Beds, space saving furniture",Spacecrafts,"Zoha Sofa Cum Bed with Storage – Simple Description

The Zoha sofa cum bed with storage is a smart and space-saving furniture option for modern homes. It works as a sofa during the day and easily converts into a bed when needed, making it perfect for small apartments, guest rooms, or homes with limited space.

One of its main features is the built-in storage space under the seat. This storage can be used to keep bedsheets, blankets, pillows, or other household items. It helps keep the room neat and reduces clutter.

As a sofa, it offers comfortable seating with well-designed cushions for daily use. The upholstery is usually made from durable fabric or leatherette, giving it a stylish look and long life.

When required, the sofa can be converted into a bed using a simple pull-out or fold-down mechanism. This makes it very convenient for accommodating overnight guests without needing an extra bed.

The Zoha sofa cum bed is built with a strong and stable frame, often made of hardwood or metal, ensuring durability. The sleeping surface provides good support for a comfortable night’s sleep.

It is available in different colors, designs, and materials, so it can match various interior styles. Overall, the Zoha sofa cum bed with storage is a practical, comfortable, and stylish solution for homes that need multifunctional furniture.",,,50,,12,Delivery Charges Applicable ,,,,,,,https://drive.google.com/file/d/1AKIx947Yzf8qyWyiqU8p28XhDmcL7eTT/view?usp=drivesdk,https://drive.google.com/file/d/1jmsPPTiNRL50Zg1ClaOGqG7i_ACmMH1n/view?usp=drivesdk,https://drive.google.com/file/d/18DdwrPr2tVDXrq8O1VURBuCkLdevMdzC/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,,,,,,,,jf-1400
Swing Two Seater Metal,,Sofa Cum Beds,Spacecrafts,"Swing Two-Seater Metal Sofa – Simple Description

The swing two-seater metal sofa combines the comfort of a sofa with the relaxing feel of a swing. It is designed for two people and adds both style and fun to any living space. Made from strong steel, it provides good support and long-lasting durability, making it suitable for indoor and outdoor use.

This sofa offers a smooth and gentle swinging motion that helps you relax. The seat and backrest are designed for comfort and often come with cushions or upholstered padding for better support. It creates a cozy place to sit, relax, read, or spend time with family.

The swing two-seater metal sofa can be used in many areas such as living rooms, balconies, patios, or gardens. Its weather-resistant build allows it to handle outdoor conditions, while the sturdy metal frame ensures stability and safety during use.

The design is modern and stylish, making it a good match for contemporary homes. The metal frame is usually coated with rust-resistant or powder-coated paint, which improves both appearance and durability. Some models may also include armrests or small side features for added comfort.

Overall, the swing two-seater metal sofa is a practical and attractive furniture choice. It offers comfortable seating, relaxing swing movement, and strong construction, making it a great addition to both indoor and outdoor spaces.",,,50,,12,Delivery Charges Applicable ,,,,,,,https://drive.google.com/file/d/1PDi5xyiyn33vcgdf6fZO6TU175QHc2to/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jf-1210
Wooden Leg Futon,,"Sofa Cum Beds, space saving furniture",Spacecrafts,"The wooden leg futon is a versatile piece of living room furniture that combines functionality with a classic aesthetic, making it an ideal choice for those seeking space-saving and multipurpose solutions.\n\nDesigned to maximize space efficiency, the wooden leg futon serves dual purposes as both a sofa and a bed. During the day, it functions as a comfortable seating option. The wooden legs add a touch of warmth and elegance to its design, complementing various interior styles from traditional to modern. The frame is typically constructed from sturdy materials like wood or metal, ensuring durability and stability.\n\nIn the evening or when accommodating guests, It easily converts into a bed. This transformation is facilitated by a user-friendly mechanism that allows for quick adjustment from a seated position to a flat sleeping surface. This versatility makes it an excellent choice for small apartments, studios, or guest rooms where optimizing space is essential.\n\nThe construction of the wooden leg futon prioritizes both comfort and durability. The mattress or seating cushions are designed to provide adequate support for seating and sleeping, ensuring a restful experience. Some models may include additional features such as built-in armrests or adjustable backrests, enhancing comfort and functionality.\n\nIn terms of aesthetic appeal, It is available in various finishes and upholstery options to suit different interior styles and personal preferences. Whether opting for a classic wooden finish or a more contemporary fabric, homeowners can find a design that complements their existing décor while adding functionality to their living space.\n\nOverall, the wooden leg futon exemplifies the versatility and practicality of modern living room furniture. Its ability to seamlessly transition between sofa and bed positions makes it a valuable addition to any home where space is at a premium. With its durable construction, stylish design, and multipurpose functionality, the wooden leg futon offers a practical solution for enhancing comfort and optimizing living space without compromising on style.",,,50,,12,Delivery Charges Applicable ,,,,,,,https://drive.google.com/file/d/1ynn_kzFQyJw70eiFidVPbyfy-LtsaeyN/view?usp=drivesdk,https://drive.google.com/file/d/1EsP-rxyM78K15WL1abMyppnh7WoDt94w/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,JF-1200
